ovn,tlmm,food,vial,block,geno
37,1,0.6,96.1.C,1,S179
40,0.95,0.4,97.1.C,1,S179
37,1,0.4,102.1.C,1,S151
40,1,0.4,105.1.C,1,S166
39,1.05,0.6,109.1.C,1,S80
29,0.95,0.4,113.1.C,1,FSP32
33,1.05,2,115.1.C,1,FSP25
39,1.05,0.6,117.1.C,1,FSP25
38,1.1,0.4,118.1.C,1,FSP25
23,1,0.2,119.1.C,1,FSP25
38,1.15,1,121.1.C,1,FSP34
32,1,0.6,122.1.C,1,FSP34
35,1,0.4,123.1.C,1,FSP34
29,1,0.2,124.1.C,1,FSP34
40,1.1,1,131.1.C,1,RR6
31,1.05,0.4,132.1.C,1,RR6
43,1.1,1,135.1.C,1,RR31
35,1.05,0.6,136.1.C,1,RR31
32,1,0.4,137.1.C,1,RR31
39,0.95,1,139.1.C,1,RR22
36,1.05,0.6,140.1.C,1,RR22
34,0.95,0.4,141.1.C,1,RR22
32,1,0.4,148.1.C,1,S166
14,1.05,0.6,153.1.C,1,FSP32
24,0.95,0.2,155.1.C,1,FSP32
32,1,0.2,156.1.C,1,FSP34
42,0.95,0.6,157.1.C,1,FSP5
31,1,0.6,164.1.C,1,RR22
29,1,0.4,165.1.C,1,RR22
21,1,0.6,171.1.C,1,FSP25
40,1.1,0.4,172.1.C,1,FSP25
28,1,0.2,173.1.C,1,FSP25
34,1,0.2,174.1.C,1,FSP34
29,0.95,0.4,183.1.C,1,RR22
23,0.8,0.2,184.1.C,1,S179
27,0.85,0.2,187.1.C,1,S166
46,0.9,0.2,159.1.C,1,FSP25
19,0.95,0.2,189.1.C,1,S80
29,0.9,0.2,190.1.C,1,FSP32
26,0.9,0.4,142.1.C,1,S179
35,1,0.4,145.1.C,1,S151
31,1.13333333333333,0.6,150.1.C,1,S80
35,1.03333333333333,0.4,151.1.C,1,S80
27,1.03333333333333,0.4,160.1.C,1,RR6
27,1.03333333333333,0.4,163.1.C,1,RR31
34,1.06666666666667,0.4,166.1.C,1,S151
29,1.13333333333333,0.4,168.1.C,1,S80
12,1,0.4,178.1.C,1,RR6
24,0.833333333333333,0.2,179.1.C,1,RR6
56,1.05,0.4,181.1.C,1,RR31
51,1.1,0.6,196.1.C,1,RR22
68,0.95,0.4,197.1.C,1,RR22
23,0.85,0.2,201.1.C,1,S166
60,1,0.2,202.1.C,1,S80
17,0.7,0.2,203.1.C,1,FSP32
20,0.733333333333333,0.2,208.1.C,1,RR31
39,1.03333333333333,0.4,209.1.C,1,RR22
16,0.916666666666667,0.2,192.1.C,1,FSP34
